mouse_strain,129SV
analysis_id,7mr7djuwq5070v2
mouse_life_stage,Early adult
parameter_name,HRV
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
parameter_id,IMPC_ECG_010_001
pvalue,0.1257856
