parameter_name,Limb morphology
pvalue,0.506152
analysis_id,0fv7i72mhjn227a
mouse_strain,C57BL
gene_symbol,Trim46
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:2673000
