gene_symbol,Gpbp1l1
analysis_id,5597w041oa5l0r9
pvalue,0.1527075
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
parameter_name,Center average speed
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
