analysis_id,2331u1l456ghxto
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,Periphery distance travelled
gene_symbol,Sgip1
parameter_id,JAX_OFD_010_001
pvalue,0.5001603
mouse_life_stage,Early adult
