gene_symbol,Ivd
gene_accession_id,MGI:1929242
mouse_strain,C57BL
analysis_id,9xw27c500cbm02y
parameter_name,Average duration
pvalue,0.4779473
parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
