mouse_strain,C3H
gene_accession_id,MGI:95457
analysis_id,ak81rl1x826de58
parameter_name,Red blood cell count
gene_symbol,Mecom
parameter_id,IMPC_HEM_002_001
pvalue,0.5114334
mouse_life_stage,Early adult
