analysis_id,vy9i4v0i62u7686
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:97838
parameter_name,Forebrain
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.2182784
