parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:1920344
pvalue,0.1725214
mouse_life_stage,Early adult
analysis_id,s760h290b318sb6
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
gene_symbol,Sgip1
