parameter_name,Midbrain
analysis_id,0c83igv3g225b29
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:1917604
pvalue,0.4325648
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
