analysis_id,2l597v605e16o6w
mouse_strain,C57BL
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
pvalue,0.707646
gene_accession_id,MGI:1931322
gene_symbol,Car13
parameter_id,MGP_MLN_058_001
