gene_symbol,Snrpb2
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:104805
pvalue,0.6555231
analysis_id,0qvy05ep88x8mh3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Sodium
