analysis_id,7yyt52s4749730n
gene_symbol,Ddx27
parameter_name,eye size
mouse_life_stage,Early adult
pvalue,0.1522218
gene_accession_id,MGI:2385884
parameter_id,ESLIM_001_001_117
mouse_strain,129SV
