analysis_id,5dmn494783897y7
gene_symbol,Mms22l
pvalue,0.2837077
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Mean-cell-volume
gene_accession_id,MGI:2684980
parameter_id,M-G-P_016_001_005
