gene_symbol,Arpc2
parameter_name,Creatinine
analysis_id,9y3i8i27k956x44
pvalue,0.4765439
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1923959
