parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
gene_accession_id,MGI:3522699
mouse_strain,C57BL
analysis_id,0zq01r3so062we3
pvalue,0.8567295
mouse_life_stage,Early adult
gene_symbol,Trpa1
