parameter_name,Weight
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:109356
mouse_strain,C57BL
analysis_id,iyo6s6ej35tlktm
mouse_life_stage,Late adult
pvalue,0.3596804
gene_symbol,Snap23
