analysis_id,36xi0rb285r7d0x
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
gene_symbol,PUM1
pvalue,0.5108764
