gene_symbol,Nipal3
parameter_name,Periphery resting time
analysis_id,6715828j6154u8x
mouse_life_stage,Early adult
pvalue,0.0971728
parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1921802
mouse_strain,129SV
