gene_symbol,Lurap1
pvalue,0.9885096
mouse_strain,C57BL
analysis_id,1b380ebn2sg8to9
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:1915325
parameter_id,MGP_IMM_010_001
