parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.4216101
mouse_strain,C57BL
analysis_id,k03h73b066a2e19
gene_symbol,Bcs1l
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
