analysis_id,9om1675tjpihc86
parameter_id,JAXLA_ECG_002_001
parameter_name,HR
pvalue,0.8807907
mouse_life_stage,E15.5
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_strain,C57BL
