parameter_name,Edema
gene_accession_id,MGI:1922855
pvalue,0.1036625
gene_symbol,Kdm5b
mouse_strain,C57BL
analysis_id,3fcqcsa7c852q1k
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
