gene_symbol,Usp37
parameter_name,NKT cells (panel A)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
pvalue,0.8639253
parameter_id,IMPC_IMM_004_001
analysis_id,38940b84w9071u3
