gene_symbol,Ntmt2
pvalue,0.1486118
gene_accession_id,MGI:2685053
parameter_id,ESLIM_011_001_007
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,PP1 + pulse startle magnitude
analysis_id,0773x3gx9722a3k
