gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
mouse_strain,C57BL
analysis_id,ly8zcz9b985jiy4
parameter_name,Total ab T cells - % of CD45+
pvalue,0.9252255
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
