gene_symbol,Rab3gap2
parameter_name,Embryo turning
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_id,IMPC_GEL_011_001
analysis_id,53831ab7990p5z8
pvalue,0.6285223
