gene_symbol,Inpp1
pvalue,0.4100965
parameter_id,IMPC_GEL_060_001
analysis_id,isjq4blce330l57
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104848
parameter_name,Neural tube morphology
