analysis_id,l74nd82h04023kz
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
gene_symbol,Bach2
pvalue,0.6820005
parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
mouse_strain,C57BL
