gene_symbol,Usp37
pvalue,0.564846
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
gene_accession_id,MGI:2442483
analysis_id,8i835n7998e8duf
