parameter_name,Triglycerides
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
pvalue,0.3939523
mouse_strain,C57BL
analysis_id,sf7c4036612mfco
gene_accession_id,MGI:88328
parameter_id,HMGULA_CBC_017_001
