analysis_id,w83a3cb879r817f
gene_symbol,Lpgat1
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,HRWLLA_OFD_013_001
parameter_name,Periphery average speed
pvalue,0.277729
