parameter_name,Eosinophils
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
pvalue,0.4497324
mouse_life_stage,Early adult
gene_symbol,Sema6c
analysis_id,06f975toxgsbc27
