analysis_id,884c92xpionv77j
mouse_life_stage,E18.5
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.9157452
parameter_id,MGP_MLN_009_001
