analysis_id,9efvea15rqz9988
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
mouse_strain,C57BL
pvalue,0.7045729
parameter_name,Mean-cell-volume
