parameter_name,Placenta Morphology
pvalue,0.9121754
mouse_strain,C57BL
analysis_id,yp60jz051oth6e8
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
parameter_id,IMPC_GPO_002_001
