analysis_id,pq37f4ib0w0f243
parameter_id,MGP_IMM_028_001
gene_symbol,Gja10
mouse_life_stage,Early adult
pvalue,0.3747688
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1339969
