parameter_name,lens opacity
mouse_strain,C57BL
gene_accession_id,MGI:2444777
pvalue,0.1796629
gene_symbol,Ncaph
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
analysis_id,80ap8gjp3324eb7
