parameter_name,Light side time spent
gene_symbol,Lpgat1
mouse_strain,C57BL
analysis_id,8s6ay82029c396q
pvalue,0.6478697
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_id,JAX_LDT_002_001
