parameter_name,Aspartate aminotransferase
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,4kz3yvvbj83x796
gene_symbol,Snap23
parameter_id,IMPC_CBC_012_001
pvalue,0.8204118
gene_accession_id,MGI:109356
