parameter_name,Aggression
pvalue,0.7734756
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
gene_symbol,Rnf114
parameter_id,IMPC_CSD_079_001
analysis_id,7933r12xo00h2mq
mouse_strain,C57BL
