analysis_id,w0o7j466sq4egia
gene_symbol,Ints7
pvalue,0.3558514
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
gene_accession_id,MGI:1924315
