analysis_id,yw1fo0pn26czf6c
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zmynd8
pvalue,0.3070278
parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1918025
