parameter_id,IMPC_ACS_035_001
mouse_strain,C57BL
pvalue,0.6748991
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
gene_symbol,Lamb3
analysis_id,h21v25mlvdri2o0
