parameter_name,Pericardium Morphology
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
gene_symbol,Rab22a
mouse_strain,C57BL
pvalue,0.346764
analysis_id,781t750z7tl1555
