analysis_id,20m9f54q76bd688
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
pvalue,0.4722567
