mouse_strain,129SV
analysis_id,7u5a7oim59545rb
pvalue,0.8297771
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
