analysis_id,tu3cxczmv6l41x2
gene_symbol,Kcng1
mouse_life_stage,Early adult
pvalue,0.151728
mouse_strain,C57BL
gene_accession_id,MGI:3616086
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
