analysis_id,k5y7n981283y171
parameter_id,ESLIM_011_001_009
mouse_life_stage,E9.5
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
gene_accession_id,MGI:1328306
gene_symbol,Orc2
pvalue,0.556612
