analysis_id,59cx1pz369e56z7
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
gene_symbol,Kifap3
parameter_id,IMPC_IPG_011_001
pvalue,0.5337649
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
