analysis_id,vysvo55sj6t1qo6
pvalue,0.07178846
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
gene_symbol,Atrn
parameter_name,Blood Vessel Morphology
