gene_symbol,Ivd
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
parameter_id,IMPC_CSD_008_001
pvalue,0.1550791
mouse_strain,C57BL
analysis_id,dpn43dc9j347248
parameter_name,Coat - color pattern - back
