analysis_id,ph052h6m2l81k76
pvalue,0.122721
mouse_strain,C57BL
gene_symbol,Ufc1
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:1913405
parameter_id,IMPC_ACS_035_001
mouse_life_stage,Early adult
