gene_symbol,Maco1
mouse_strain,C57BL
parameter_name,Mean cell volume
pvalue,0.8257564
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
analysis_id,kca6k5f3f4m65cj
parameter_id,ESLIM_016_001_005
