analysis_id,d12lcu9e9u1ffm0
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:1345282
pvalue,0.6551723
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Slc30a4
