parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.6190173
mouse_strain,C57BL
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_life_stage,Early adult
analysis_id,4y6zfn887329241
