analysis_id,9skh81827qd5991
mouse_life_stage,Late adult
gene_symbol,AU040320
pvalue,0.3298253
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:2140475
