analysis_id,t7l99u172l8kiul
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
pvalue,0.2598499
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
