parameter_name,Others
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
pvalue,0.7419285
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_006_001
analysis_id,ge9ypu984t1mc6j
mouse_strain,C57BL
