analysis_id,d854b691ictv6d0
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
gene_symbol,Usp37
gene_accession_id,MGI:2442483
pvalue,0.3673103
parameter_name,Eye
mouse_life_stage,Early adult
