analysis_id,3c03pjn2ncskqbh
gene_accession_id,MGI:1922745
mouse_strain,C57BL
gene_symbol,Morn5
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
pvalue,0.698709
parameter_name,B2B Cells
