analysis_id,tm80xv1rzx6886s
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
gene_symbol,SLC2A8
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.3322706
mouse_strain,C57BL
gene_accession_id,MGI:1860103
