parameter_name,Limb grasp
mouse_strain,C57BL
pvalue,0.2365856
parameter_id,JAXLA_CSD_039_001
analysis_id,fg4h05zl71lj982
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
