analysis_id,76j9l6u2k64146t
parameter_id,MGP_MLN_033_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,1.275307
