gene_symbol,Cisd2
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
pvalue,0.8830328
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
analysis_id,1675t845y0c490v
